"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Тест-кейс end2end","0","","2","0","Проверка авторизации пользователем,который зарегистрирован","0"
"0","Контрактные тесты на модуль Employee","0","","6","0","Список сотрудников","0"
"0","Бизнес тесты на модуль Employee","1","","7","0","Создание менеджера","0"
"0","Контрактные тесты на модуль Employee","0","","2","0","Редактирование информации о сотрудниках","0"
"0","Тест-кейс положительная авторизация","0","","1","0","Проверка авторизации пользователем,который зарегистрирован","0"
"0","Тесты на модуль Company","0","","1","0","Удаление компании","0"
"0","Тесты на модуль Company","0","","1","0","Редактирование записи о компании","0"
"0","Контрактные тесты на модуль Employee","0","","1","0","Получение информации о менеджерах","0"
"0","Тест-кейс негативная авторизация","0","","1","0","Проверка авторизации пользователем,который забыл пароль","0"
"0","Тесты на модуль Company","0","","1","0","Информация  компании","0"
"0","Бизнес тесты на модуль Employee","0","","2","0","Получение информации о пользователе","0"
